id,CustomerID,Tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
27,6467-CHFZW,47,1,0,1,Electronic check,99.35,4749.15,Yes
28,8665-UTDHZ,1,0,0,0,Electronic check,30.2,30.2,Yes
29,5248-YGIJN,72,1,2,1,Credit card (automatic),90.25,6369.45,No
30,8773-HHUOZ,17,1,0,1,Mailed check,64.7,1093.1,Yes
31,3841-NFECX,71,1,2,1,Credit card (automatic),96.35,6766.95,No
32,4929-XIHVW,2,1,0,1,Credit card (automatic),95.5,181.65,No
33,6827-IEAUQ,27,1,1,0,Mailed check,66.15,1874.45,No
34,7310-EGVHZ,1,1,0,0,Bank transfer (automatic),20.2,20.2,No
35,3413-BMNZE,1,1,0,0,Bank transfer (automatic),45.25,45.25,No
36,6234-RAAPL,72,1,2,0,Bank transfer (automatic),99.9,7251.7,No
37,6047-YHPVI,5,1,0,1,Electronic check,69.7,316.9,Yes
38,6572-ADKRS,46,1,0,1,Credit card (automatic),74.8,3548.3,No
39,5380-WJKOV,34,1,0,1,Electronic check,106.35,3549.25,Yes
40,8168-UQWWF,11,1,0,1,Bank transfer (automatic),97.85,1105.4,Yes
41,8865-TNMNX,10,1,1,0,Mailed check,49.55,475.7,No
42,9489-DEDVP,70,1,2,1,Credit card (automatic),69.2,4872.35,No
43,9867-JCZSP,17,1,1,0,Mailed check,20.75,418.25,No
44,4671-VJLCL,63,1,2,1,Credit card (automatic),79.85,4861.45,No
45,4080-IIARD,13,1,0,1,Electronic check,76.2,981.45,No
46,3714-NTNFO,49,1,0,1,Electronic check,84.5,3906.7,No
47,5948-UJZLF,2,1,0,0,Mailed check,49.25,97,No
48,7760-OYPDY,2,1,0,1,Electronic check,80.65,144.15,Yes
49,7639-LIAYI,52,1,2,1,Credit card (automatic),79.75,4217.8,No
50,2954-PIBKO,69,1,2,1,Credit card (automatic),64.15,4254.1,No
51,8012-SOUDQ,43,1,0,1,Electronic check,90.25,3838.75,No
52,9420-LOJKX,15,1,0,1,Credit card (automatic),99.1,1426.4,Yes
53,6575-SUVOI,25,1,0,1,Credit card (automatic),69.5,1752.65,No
54,7495-OOKFY,8,1,0,1,Credit card (automatic),80.65,633.3,Yes
55,4667-QONEA,60,1,1,1,Credit card (automatic),74.85,4456.35,No
56,1658-BYGOY,18,1,0,1,Electronic check,95.45,1752.55,Yes
57,8769-KKTPH,63,1,1,1,Credit card (automatic),99.65,6311.2,No
58,5067-XJQFU,66,1,1,1,Electronic check,108.45,7076.35,No
59,3957-SQXML,34,1,2,0,Credit card (automatic),24.95,894.3,No
60,5954-BDFSG,72,1,2,1,Credit card (automatic),107.5,7853.7,No
61,0434-CSFON,47,1,0,1,Electronic check,100.5,4707.1,No
62,1215-FIGMP,60,1,0,1,Bank transfer (automatic),89.9,5450.7,No
63,0526-SXDJP,72,0,2,0,Bank transfer (automatic),42.1,2962,No
64,0557-ASKVU,18,1,1,1,Credit card (automatic),54.4,957.1,No
65,5698-BQJOH,9,1,0,0,Electronic check,94.4,857.25,Yes
66,5122-CYFXA,3,1,0,1,Electronic check,75.3,244.1,No
67,8627-ZYGSZ,47,1,1,1,Electronic check,78.9,3650.35,No
68,3410-YOQBQ,31,1,2,0,Mailed check,79.2,2497.2,No
69,3170-NMYVV,50,1,2,0,Bank transfer (automatic),20.15,930.9,No
70,7410-OIEDU,10,1,0,1,Mailed check,79.85,887.35,No
71,2273-QCKXA,1,1,0,0,Mailed check,49.05,49.05,No
72,0731-EBJQB,52,1,1,1,Electronic check,20.4,1090.65,No
73,1891-QRQSA,64,1,2,1,Bank transfer (automatic),111.6,7099,No
74,8028-PNXHQ,62,1,2,1,Bank transfer (automatic),24.25,1424.6,No
75,5630-AHZIL,3,1,0,1,Bank transfer (automatic),64.5,177.4,No
76,2673-CXQEU,56,1,1,0,Electronic check,110.5,6139.5,No
77,6416-JNVRK,46,1,1,0,Credit card (automatic),55.65,2688.85,No
78,5590-ZSKRV,8,1,0,0,Mailed check,54.65,482.25,No
79,0191-ZHSKZ,30,1,0,1,Electronic check,74.75,2111.3,No
80,3887-PBQAO,45,1,1,1,Credit card (automatic),25.9,1216.6,No
81,5919-TMRGD,1,1,0,1,Electronic check,79.35,79.35,Yes
82,8108-UXRQN,11,0,0,0,Electronic check,50.55,565.35,No
83,9191-MYQKX,7,1,0,1,Bank transfer (automatic),75.15,496.9,Yes
84,9919-YLNNG,42,1,0,1,Bank transfer (automatic),103.8,4327.5,No
85,0318-ZOPWS,49,1,2,1,Bank transfer (automatic),20.15,973.35,No
86,4445-ZJNMU,9,1,0,1,Credit card (automatic),99.3,918.75,No
87,4808-YNLEU,35,1,1,1,Bank transfer (automatic),62.15,2215.45,No
88,1862-QRWPE,48,1,2,0,Bank transfer (automatic),20.65,1057,No
89,2796-NNUFI,46,1,2,1,Mailed check,19.95,927.1,No
90,3016-KSVCP,29,0,0,0,Mailed check,33.75,1009.25,No
91,4767-HZZHQ,30,1,0,0,Bank transfer (automatic),82.05,2570.2,No
92,2424-WVHPL,1,1,0,0,Electronic check,74.7,74.7,No
93,7233-PAHHL,66,1,2,1,Mailed check,84,5714.25,No
94,6067-NGCEU,65,1,0,1,Credit card (automatic),111.05,7107,No
95,9848-JQJTX,72,1,2,1,Bank transfer (automatic),100.9,7459.05,No
96,8637-XJIVR,12,1,0,1,Electronic check,78.95,927.35,Yes
97,9803-FTJCG,71,1,1,1,Credit card (automatic),66.85,4748.7,No
98,0278-YXOOG,5,1,0,0,Mailed check,21.05,113.85,Yes
99,3212-KXOCR,52,1,2,0,Bank transfer (automatic),21,1107.2,No
100,4598-XLKNJ,25,1,0,1,Electronic check,98.5,2514.5,Yes
101,6380-ARCEH,1,1,0,0,Mailed check,20.2,20.2,No
102,3679-XASPY,1,1,0,0,Electronic check,19.45,19.45,No
103,7123-WQUHX,38,1,1,0,Bank transfer (automatic),95,3605.6,No
104,5386-THSLQ,66,0,1,0,Bank transfer (automatic),45.55,3027.25,No
105,3192-NQECA,68,1,2,1,Bank transfer (automatic),110,7611.85,Yes
106,6180-YBIQI,5,0,0,0,Mailed check,24.3,100.2,No
107,6728-DKUCO,72,1,1,1,Electronic check,104.15,7303.05,No
108,9750-BOOHV,32,0,1,0,Mailed check,30.15,927.65,No
109,8597-CWYHH,43,1,1,0,Mailed check,94.35,3921.3,No
110,2848-YXSMW,72,1,2,0,Credit card (automatic),19.4,1363.25,No
111,0486-HECZI,55,1,0,1,Electronic check,96.75,5238.9,Yes
112,4549-ZDQYY,52,1,1,0,Credit card (automatic),57.95,3042.25,No
113,5712-AHQNN,43,1,0,1,Electronic check,91.65,3954.1,No
114,4846-WHAFZ,37,1,0,1,Electronic check,76.5,2868.15,Yes
115,5256-SKJGO,64,0,2,1,Electronic check,54.6,3423.5,No
116,3071-VBYPO,3,1,0,0,Electronic check,89.85,248.4,No
117,9560-BBZXK,36,0,2,0,Bank transfer (automatic),31.05,1126.35,No
118,5299-RULOA,10,1,0,1,Electronic check,100.25,1064.65,Yes
119,8402-OOOHJ,41,1,2,0,Mailed check,20.65,835.15,No
120,9445-ZUEQE,27,1,0,1,Credit card (automatic),85.2,2151.6,No
121,1091-SOZGA,56,1,1,1,Credit card (automatic),99.8,5515.45,No
122,2928-HLDBA,6,1,0,0,Mailed check,20.7,112.75,No
123,0404-SWRVG,3,1,0,1,Electronic check,74.4,229.55,Yes
124,6497-TILVL,7,1,0,0,Mailed check,50.7,350.35,No
125,7219-TLZHO,4,1,0,0,Mailed check,20.85,62.9,No
126,4622-YNKIJ,33,1,2,1,Electronic check,88.95,3027.65,No
127,4412-YLTKF,27,1,0,1,Electronic check,78.05,2135.5,Yes
128,6734-PSBAW,72,1,2,1,Bank transfer (automatic),23.55,1723.95,No
129,3930-ZGWVE,1,1,0,0,Mailed check,19.75,19.75,No
130,2639-UGMAZ,71,0,1,1,Electronic check,56.45,3985.35,No
131,2876-GZYZC,13,1,0,1,Electronic check,85.95,1215.65,No
132,6207-WIOLX,25,0,0,1,Credit card (automatic),58.6,1502.65,Yes
133,8587-XYZSF,67,1,2,0,Bank transfer (automatic),50.55,3260.1,No
134,3091-FYHKI,1,0,0,1,Electronic check,35.45,35.45,Yes
135,2372-HWUHI,2,1,0,0,Electronic check,44.35,81.25,Yes
136,7799-LGRDP,43,1,2,1,Credit card (automatic),25.7,1188.2,No
137,7850-VWJUU,23,1,0,1,Bank transfer (automatic),75,1778.5,No
138,3774-VBNXY,64,1,2,0,Mailed check,20.2,1277.75,No
139,6217-KDYWC,57,1,2,1,Mailed check,19.6,1170.55,No
140,0390-DCFDQ,1,1,0,1,Mailed check,70.45,70.45,Yes
141,3146-MSEGF,72,1,2,1,Credit card (automatic),88.05,6425.65,No
142,4080-OGPJL,8,1,0,0,Electronic check,71.15,563.65,Yes
143,1095-WGNGG,61,1,2,1,Bank transfer (automatic),101.05,5971.25,No
144,2636-SJDOU,64,1,1,1,Credit card (automatic),84.3,5289.05,No
145,1131-QQZEB,71,1,2,0,Bank transfer (automatic),23.95,1756.2,No
146,5716-EZXZN,65,1,2,1,Credit card (automatic),99.05,6416.7,No
147,6837-BJYDQ,3,1,1,0,Mailed check,19.6,61.35,No
148,2135-RXIHG,1,1,0,1,Electronic check,45.65,45.65,Yes
149,6440-DKQGE,30,1,1,0,Credit card (automatic),64.5,1929.95,No
150,3466-BYAVD,15,1,0,1,Mailed check,69.5,1071.4,No
151,3780-YVMFA,8,1,0,1,Electronic check,68.55,564.35,No
152,3874-EQOEP,7,1,0,0,Mailed check,95,655.5,Yes
153,1679-JRFBR,70,1,1,1,Credit card (automatic),108.15,7930.55,No
154,9073-ZZIAY,62,1,2,0,Electronic check,86.1,5215.25,No
155,3077-RSNTJ,6,1,0,0,Mailed check,19.7,113.5,No
156,6551-GNYDG,14,1,0,1,Bank transfer (automatic),80.9,1152.8,No
157,9167-APMXZ,22,1,0,1,Bank transfer (automatic),84.15,1821.95,No
158,2749-CTKAJ,22,1,1,0,Mailed check,20.15,419.9,No
159,6371-NZYEG,16,1,2,0,Mailed check,64.25,1024,No
160,7554-NEWDD,10,1,2,0,Bank transfer (automatic),25.7,251.6,No
161,8992-VONJD,13,1,0,1,Electronic check,56,764.55,No
162,0867-MKZVY,20,1,0,0,Electronic check,82.4,1592.35,Yes
163,4482-EWFMI,2,1,0,1,Electronic check,69.7,135.2,No
164,4648-YPBTM,53,1,2,1,Bank transfer (automatic),73.9,3958.25,No
165,2907-ILJBN,11,1,1,0,Mailed check,20.6,233.9,No
166,6345-FZOQH,69,1,2,0,Mailed check,19.9,1363.45,No
167,3376-BMGFE,4,1,0,1,Bank transfer (automatic),70.9,273,Yes
168,5997-OPVFA,72,1,2,1,Bank transfer (automatic),89.05,6254.45,No
169,3445-HXXGF,58,0,0,1,Electronic check,45.3,2651.2,Yes
170,1159-WFSGR,16,1,0,0,Electronic check,20.4,321.4,No
171,7654-YWJUF,43,1,1,1,Bank transfer (automatic),84.25,3539.25,No
172,1875-QIVME,2,1,0,1,Electronic check,104.4,242.8,Yes
173,6727-IOTLZ,14,1,2,0,Mailed check,81.95,1181.75,No
174,0691-JVSYA,53,1,1,1,Bank transfer (automatic),94.85,5000.2,Yes
175,5918-VUKWP,32,1,1,0,Bank transfer (automatic),20.55,654.55,No
176,1744-JHKYS,34,1,0,0,Electronic check,24.7,780.2,No
177,2656-FMOKZ,15,1,0,1,Mailed check,74.45,1145.7,Yes
178,2070-FNEXE,7,1,0,0,Bank transfer (automatic),76.45,503.6,Yes
179,5947-SGKCL,15,1,0,1,Bank transfer (automatic),105.35,1559.25,No
180,3712-PKXZA,61,1,1,1,Credit card (automatic),20.55,1252,No
181,6317-YPKDH,1,0,0,0,Bank transfer (automatic),29.95,29.95,Yes
182,6582-OIVSP,1,1,0,0,Mailed check,45.3,45.3,No
183,9367-WXLCH,8,1,0,0,Bank transfer (automatic),84.5,662.65,Yes
184,5524-KHNJP,33,1,1,0,Credit card (automatic),74.75,2453.3,No
185,1918-ZBFQJ,13,1,0,1,Electronic check,79.25,1111.65,Yes
186,1024-GUALD,1,0,0,1,Electronic check,24.8,24.8,Yes
187,4827-USJHP,20,1,0,1,Mailed check,51.8,1023.85,No
188,8167-GJLRN,3,0,0,0,Electronic check,30.4,82.15,No
189,0956-SYCWG,13,1,1,0,Electronic check,19.65,244.8,No
190,8017-UVSZU,40,1,0,0,Credit card (automatic),56.6,2379.1,No
191,7100-FQPRV,43,1,1,1,Credit card (automatic),71.9,3173.35,No
192,2472-OVKUP,6,1,0,1,Electronic check,91,531,Yes
193,2984-RGEYA,69,1,2,0,Bank transfer (automatic),19.75,1375.4,No
194,9680-NIAUV,72,1,2,0,Credit card (automatic),109.7,8129.3,No
195,2146-EGVDT,59,1,2,0,Credit card (automatic),19.3,1192.7,No
196,2604-IJPDU,20,1,0,1,Electronic check,96.55,1901.65,No
197,9178-JHUVJ,24,1,2,1,Bank transfer (automatic),24.1,587.4,No
198,6168-YBYNP,59,1,0,1,Electronic check,111.35,6519.75,No
199,7255-SSFBC,72,1,2,1,Bank transfer (automatic),112.25,8041.65,No
200,3645-DEYGF,1,1,0,0,Mailed check,20.75,20.75,No
201,9323-HGFWY,27,1,1,1,Credit card (automatic),101.9,2681.15,No
202,8544-GOQSH,14,1,0,1,Credit card (automatic),80.05,1112.3,No
203,3363-DTIVD,71,1,2,0,Electronic check,105.55,7405.5,No
204,7018-WBJNK,13,1,0,1,Credit card (automatic),78.3,1033.95,No
205,9142-KZXOP,44,1,0,0,Credit card (automatic),68.85,2958.95,No
206,7674-YTAFD,33,1,1,1,Bank transfer (automatic),79.95,2684.85,No
207,6348-SNFUS,72,0,2,1,Credit card (automatic),55.45,4179.2,No
208,1285-OKIPP,1,1,0,0,Electronic check,79.9,79.9,Yes
209,7825-ECJRF,19,1,0,1,Electronic check,106.6,1934.45,Yes
210,1347-KTTTA,64,1,1,1,Credit card (automatic),102.45,6654.1,No
211,7841-TZDMQ,2,1,0,1,Credit card (automatic),46,84.5,Yes
212,4195-NZGTA,1,0,0,0,Electronic check,25.25,25.25,No
213,7157-SMCFK,61,1,2,0,Mailed check,19.75,1124.2,No
214,4709-LKHYG,29,1,1,0,Electronic check,20,540.05,No
215,2504-DSHIH,23,1,0,0,Electronic check,86.8,1975.85,No
216,0699-NDKJM,57,0,0,1,Bank transfer (automatic),58.75,3437.45,No
217,9286-BHDQG,72,0,2,0,Credit card (automatic),45.25,3139.8,No
218,0230-WEQUW,66,0,2,1,Bank transfer (automatic),56.6,3789.2,No
219,2040-LDIWQ,65,1,2,1,Bank transfer (automatic),84.2,5324.5,No
220,6496-JDSSB,8,1,0,1,Bank transfer (automatic),80,624.6,No
221,9408-SSNVZ,4,1,0,1,Electronic check,70.15,268.35,Yes
222,4443-EMBNA,71,1,2,0,Bank transfer (automatic),24.75,1836.9,No
223,6469-MRVET,1,1,1,1,Electronic check,20.2,20.2,No
224,0742-MOABM,4,1,0,0,Mailed check,50.05,179.35,Yes
225,5961-VUSRV,12,1,1,1,Bank transfer (automatic),19.35,219.35,No
226,6778-JFCMK,24,0,1,1,Mailed check,50.6,1288.75,No
227,6341-JVQGF,31,1,1,1,Mailed check,81.15,2545.75,No
228,2232-DMLXU,1,1,0,0,Mailed check,55.2,55.2,Yes
229,4811-JBUVU,30,1,0,1,Credit card (automatic),89.9,2723.15,No
230,0945-TSONX,47,1,2,1,Credit card (automatic),85.3,4107.25,No
231,2651-ZCBXV,54,1,2,1,Credit card (automatic),108,5760.65,No
232,3316-UWXUY,50,1,0,1,Credit card (automatic),93.5,4747.5,No
233,8937-RDTHP,1,1,0,1,Mailed check,84.6,84.6,Yes
234,7083-MIOPC,72,1,2,0,Credit card (automatic),20.25,1566.9,No
235,1984-GPTEH,29,1,0,0,Electronic check,25.15,702,No
236,1251-KRREG,2,1,0,1,Mailed check,54.4,114.1,Yes
237,0621-JFHOL,10,0,2,1,Mailed check,29.6,299.05,No
238,9903-LYSAB,18,1,0,1,Electronic check,73.15,1305.95,No
239,0094-OIFMO,11,1,0,1,Electronic check,95,1120.3,Yes
240,9227-UAQFT,16,1,2,0,Mailed check,19.75,284.35,No
241,7301-ABVAD,72,1,2,0,Bank transfer (automatic),86.6,6350.5,No
242,6614-FHDBO,72,1,2,0,Bank transfer (automatic),109.2,7878.3,No
243,7576-ASEJU,41,1,1,1,Credit card (automatic),74.7,3187.65,No
244,9058-HRZSV,65,1,0,0,Electronic check,94.4,6126.15,No
245,4522-AKYLR,13,1,0,1,Electronic check,54.8,731.3,No
246,0221-WMXNQ,4,1,0,0,Electronic check,75.35,273.4,No
247,0303-UNCIP,41,1,1,0,Mailed check,65,2531.8,No
248,9947-OTFQU,15,1,0,1,Electronic check,74.4,1074.3,Yes
249,0322-YINQP,1,1,0,1,Mailed check,48.55,48.55,Yes
250,0959-WHOKV,42,1,1,1,Electronic check,99,4298.45,No
251,4075-JFPGR,51,1,1,1,Electronic check,93.5,4619.55,No
252,4629-NRXKX,2,1,0,0,Electronic check,70.4,147.15,Yes
253,9514-JDSKI,1,0,0,0,Electronic check,40.2,40.2,Yes
254,3282-ZISZV,32,1,1,0,Credit card (automatic),83.7,2633.3,No
255,3675-YDUPJ,10,1,0,1,Mailed check,19.85,193.05,No
256,4111-BNXIF,67,0,2,1,Electronic check,59.55,4103.9,No
257,7017-VFHAY,61,1,2,0,Credit card (automatic),115.1,7008.15,No
258,6655-LHBYW,50,1,1,0,Credit card (automatic),114.35,5791.1,No
259,4959-JOSRX,2,1,0,1,Credit card (automatic),44.6,80.55,Yes
260,5046-NUHWD,29,0,0,1,Electronic check,45,1228.65,No
261,7273-TEFQD,3,0,0,1,Electronic check,41.15,132.2,Yes
262,3606-TWKGI,13,1,0,1,Electronic check,106.9,1364.3,Yes
263,7529-ZDFXI,57,1,0,1,Electronic check,89.85,4925.35,No
264,7605-BDWDC,31,0,2,1,Bank transfer (automatic),49.85,1520.1,No
265,1950-KSVVJ,45,1,1,0,Mailed check,113.3,5032.25,No
266,0123-CRBRT,61,1,2,0,Mailed check,88.1,5526.75,No
267,6292-TOSSS,50,1,2,0,Bank transfer (automatic),24.9,1195.25,No
268,3197-ARFOY,19,1,0,1,Mailed check,105,2007.25,No
269,6323-AYBRX,59,1,2,0,Mailed check,19.35,1099.6,Yes
270,7014-ZZXAW,71,1,2,1,Credit card (automatic),24.25,1732.95,No
271,4385-GZQXV,16,1,0,1,Electronic check,94.45,1511.2,Yes
272,7633-MVPUY,57,1,2,1,Electronic check,59.75,3450.15,No
273,6366-ZGQGL,1,0,0,0,Bank transfer (automatic),24.8,24.8,Yes
274,4716-HHKQH,20,1,0,0,Electronic check,107.05,2172.05,No
275,5940-AHUHD,1,1,0,0,Mailed check,70.6,70.6,Yes
276,6432-TWQLB,5,1,0,1,Electronic check,85.4,401.1,Yes
277,4484-GLZOU,52,1,0,1,Electronic check,105.05,5624.85,Yes
278,3179-GBRWV,21,1,0,1,Bank transfer (automatic),64.95,1339.8,No
279,8645-KWHJO,14,0,0,1,Electronic check,55,771.95,No
280,4130-MZLCC,5,1,0,0,Bank transfer (automatic),50.55,244.75,No
281,0314-TKOSI,6,1,0,0,Mailed check,55.15,322.9,No
282,8229-MYEJZ,10,1,0,0,Electronic check,51.2,498.25,No
283,2080-SRCDE,1,1,0,0,Mailed check,25.4,25.4,No
284,9577-WJVCQ,68,1,0,0,Mailed check,54.45,3687.75,No
285,9512-UIBFX,18,1,0,0,Mailed check,95.15,1779.95,Yes
286,6202-DYYFX,22,1,1,1,Credit card (automatic),76,1783.6,No
287,3808-HFKDE,20,1,0,1,Electronic check,44.35,927.15,No
288,5583-SXDAG,1,1,0,0,Electronic check,70,70,Yes
289,3488-PGMQJ,8,1,0,1,Electronic check,74.5,606.55,Yes
290,3580-REOAC,10,1,0,1,Credit card (automatic),44.85,435.4,Yes
291,7534-BFESC,24,1,0,1,Electronic check,76.1,1712.7,Yes
292,3727-OWVYD,35,1,1,0,Mailed check,61.2,2021.2,No
293,2294-SALNE,23,1,1,0,Mailed check,86.8,1940.8,No
294,4847-TAJYI,6,1,0,1,Electronic check,89.35,567.8,No
295,1563-IWQEX,12,1,0,0,Mailed check,19.7,220.35,No
296,8203-XJZRC,1,1,0,0,Mailed check,20.25,20.25,No
297,6556-DBKZF,71,1,2,0,Electronic check,76.05,5436.45,No
298,6851-WEFYX,35,1,0,1,Electronic check,100.8,3437.5,No
299,2985-JUUBZ,40,1,0,1,Electronic check,74.55,3015.75,No
300,6390-DSAZX,1,1,0,1,Mailed check,73.6,73.6,Yes
301,0895-LMRSF,23,1,1,1,Bank transfer (automatic),64.9,1509.8,No
302,8098-LLAZX,4,1,0,1,Electronic check,95.45,396.1,Yes
303,8266-VBFQL,4,1,0,1,Electronic check,90.4,356.65,No
304,8181-YHCMF,68,0,2,0,Credit card (automatic),60.3,4109,No
305,2240-HSJQD,38,1,0,1,Mailed check,81.85,3141.7,No
306,1248-DYXUB,52,1,2,0,Mailed check,24.8,1229.1,No
307,0265-EDXBD,32,1,0,1,Electronic check,74.9,2303.35,Yes
308,4115-BNPJY,29,1,2,0,Mailed check,75.55,2054.4,No
309,3167-SNQPL,38,1,0,0,Electronic check,101.15,3741.85,No
310,4091-TVOCN,48,1,1,1,Credit card (automatic),78.75,3682.45,No
311,1098-TDVUQ,1,1,0,1,Bank transfer (automatic),19.25,19.25,No
312,7277-OZCGZ,22,1,0,1,Electronic check,89.05,1886.25,No
313,1557-EMYVT,43,1,2,0,Credit card (automatic),115.05,4895.1,No
314,2799-ARNLO,5,1,0,1,Electronic check,69.35,341.6,No
315,7563-BIUPC,5,1,0,1,Electronic check,80.6,415.55,Yes
316,5027-YOCXN,51,1,1,0,Credit card (automatic),110.05,5686.4,No
317,3973-SKMLN,71,1,2,1,Credit card (automatic),19.9,1355.1,No
318,2321-OMBXY,38,1,1,0,Credit card (automatic),80.3,3058.65,Yes
319,2840-XANRC,24,1,0,1,Electronic check,93.15,2231.05,Yes
320,6745-JEFZB,35,1,0,1,Credit card (automatic),91.5,3236.35,No
321,5020-ZSTTY,54,1,1,0,Bank transfer (automatic),82.45,4350.1,Yes
322,9880-TDQAC,72,0,2,1,Electronic check,60,4264,No
323,8705-WZCYL,1,1,0,1,Electronic check,44.8,44.8,No
324,7102-JJVTX,9,1,1,0,Mailed check,48.6,422.3,No
325,8626-PTQGE,69,0,2,1,Bank transfer (automatic),60.05,4176.7,No
326,4983-CLMLV,52,1,0,1,Credit card (automatic),102.7,5138.1,No
327,5701-YVSVF,11,1,0,1,Electronic check,82.9,880.05,No
328,5804-LEPIM,2,1,0,1,Electronic check,70.35,139.05,Yes
329,5697-GOMBF,28,0,0,1,Electronic check,35.9,973.65,No
330,2739-CACDQ,17,1,0,1,Credit card (automatic),82.65,1470.05,No
331,9385-EHGDO,35,1,2,1,Mailed check,19.85,739.35,No
332,9498-FIMXL,8,1,1,1,Mailed check,19.2,161.95,No
333,2379-GYFLQ,46,1,1,1,Credit card (automatic),94.9,4422.95,No
334,0122-OAHPZ,7,1,0,1,Electronic check,73.85,511.25,Yes
335,2868-SNELZ,2,1,0,0,Mailed check,80.6,155.8,Yes
336,4322-RCYMT,68,1,1,1,Bank transfer (automatic),75.8,5293.95,Yes
337,6680-NENYN,43,1,2,1,Electronic check,104.6,4759.85,Yes
338,2088-IEBAU,68,1,2,1,Electronic check,88.15,6148.45,No
339,7982-VCELR,36,1,0,1,Credit card (automatic),94.8,3565.65,No
340,1343-EHPYB,63,1,0,1,Electronic check,103.4,6603,Yes
341,6035-BXTTY,32,1,0,0,Bank transfer (automatic),54.65,1830.1,No
342,6885-PKOAM,71,1,2,0,Credit card (automatic),85.75,6223.8,No
343,7520-HQWJU,66,1,0,1,Bank transfer (automatic),67.45,4508.65,No
344,9639-BUJXT,63,1,1,0,Mailed check,20.5,1328.15,No
345,5924-SNGKP,41,1,1,1,Credit card (automatic),20.25,865,No
346,0021-IKXGC,1,1,0,1,Electronic check,72.1,72.1,No
347,2034-GDRCN,2,1,0,1,Electronic check,90.4,168.2,Yes
348,8966-SNIZF,70,1,2,0,Bank transfer (automatic),19.45,1303.5,No
349,6243-OZGFH,23,0,0,1,Electronic check,44.95,996.85,No
350,4654-DLAMQ,64,1,1,0,Bank transfer (automatic),97,6430.9,No
351,0513-RBGPE,37,1,2,1,Credit card (automatic),62.8,2278.75,No
352,5160-UXJED,17,1,1,0,Mailed check,44.6,681.4,No
353,4115-NZRKS,7,1,0,1,Electronic check,89.15,574.35,No
354,0219-YTZUE,4,1,0,1,Bank transfer (automatic),84.8,371.9,Yes
355,0623-IIHUG,21,0,0,1,Electronic check,41.9,840.1,Yes
356,4572-DVCGN,10,1,0,1,Bank transfer (automatic),80.25,846,Yes
357,3351-NGXYI,16,1,0,1,Electronic check,54.1,889,No
358,8984-EYLLL,64,1,2,1,Electronic check,105.25,6823.4,No
359,9057-MSWCO,27,0,0,0,Credit card (automatic),30.75,805.1,Yes
360,9833-TGFHX,42,1,1,0,Electronic check,97.1,4016.75,No
361,9294-TDIPC,5,1,0,0,Mailed check,20.2,83.75,No
362,5229-DTFYB,41,1,2,1,Bank transfer (automatic),98.8,3959.15,No
363,0104-PPXDV,58,1,1,0,Credit card (automatic),50.3,2878.55,No
364,5176-LMJXE,47,1,2,1,Mailed check,20.55,945.7,No
365,3583-KRKMD,18,1,0,1,Bank transfer (automatic),75.9,1373.05,No
366,1010-DIAUQ,5,1,0,0,Bank transfer (automatic),96.5,492.55,Yes
367,9069-LGEUL,23,1,0,1,Bank transfer (automatic),59.95,1406,No
368,7302-ZHMHP,1,1,0,0,Mailed check,19.15,19.15,No
